match_id,date,season,team1,team2,venue,toss_winner,toss_decision,winner
335982,2008-04-18,2008,Royal Challengers Bengaluru,Kolkata Knight Riders,M Chinnaswamy Stadium,Royal Challengers Bengaluru,field,Kolkata Knight Riders
335983,2008-04-19,2008,Punjab Kings,Chennai Super Kings,"Punjab Cricket Association Stadium, Mohali",Chennai Super Kings,bat,Chennai Super Kings
335984,2008-04-19,2008,Delhi Capitals,Rajasthan Royals,Feroz Shah Kotla,Rajasthan Royals,bat,Delhi Capitals
335985,2008-04-20,2008,Mumbai Indians,Royal Challengers Bengaluru,Wankhede Stadium,Mumbai Indians,bat,Royal Challengers Bengaluru
335986,2008-04-20,2008,Kolkata Knight Riders,Deccan Chargers,Eden Gardens,Deccan Chargers,bat,Kolkata Knight Riders
335987,2008-04-21,2008,Rajasthan Royals,Punjab Kings,Sawai Mansingh Stadium,Punjab Kings,bat,Rajasthan Royals
335988,2008-04-22,2008,Deccan Chargers,Delhi Capitals,"Rajiv Gandhi International Stadium, Uppal",Deccan Chargers,bat,Delhi Capitals
335989,2008-04-23,2008,Chennai Super Kings,Mumbai Indians,"MA Chidambaram Stadium, Chepauk",Mumbai Indians,field,Chennai Super Kings
335990,2008-04-24,2008,Deccan Chargers,Rajasthan Royals,"Rajiv Gandhi International Stadium, Uppal",Rajasthan Royals,field,Rajasthan Royals
335991,2008-04-25,2008,Punjab Kings,Mumbai Indians,"Punjab Cricket Association Stadium, Mohali",Mumbai Indians,field,Punjab Kings
335992,2008-04-26,2008,Royal Challengers Bengaluru,Rajasthan Royals,M Chinnaswamy Stadium,Rajasthan Royals,field,Rajasthan Royals
335993,2008-04-26,2008,Chennai Super Kings,Kolkata Knight Riders,"MA Chidambaram Stadium, Chepauk",Kolkata Knight Riders,bat,Chennai Super Kings
335994,2008-04-27,2008,Mumbai Indians,Deccan Chargers,Dr DY Patil Sports Academy,Deccan Chargers,field,Deccan Chargers
335995,2008-04-27,2008,Punjab Kings,Delhi Capitals,"Punjab Cricket Association Stadium, Mohali",Delhi Capitals,bat,Punjab Kings
335996,2008-04-28,2008,Royal Challengers Bengaluru,Chennai Super Kings,M Chinnaswamy Stadium,Chennai Super Kings,bat,Chennai Super Kings
335997,2008-04-29,2008,Kolkata Knight Riders,Mumbai Indians,Eden Gardens,Kolkata Knight Riders,bat,Mumbai Indians
335998,2008-04-30,2008,Delhi Capitals,Royal Challengers Bengaluru,Feroz Shah Kotla,Royal Challengers Bengaluru,field,Delhi Capitals
335999,2008-05-01,2008,Deccan Chargers,Punjab Kings,"Rajiv Gandhi International Stadium, Uppal",Punjab Kings,field,Punjab Kings
336000,2008-05-01,2008,Rajasthan Royals,Kolkata Knight Riders,Sawai Mansingh Stadium,Rajasthan Royals,bat,Rajasthan Royals
336001,2008-05-02,2008,Chennai Super Kings,Delhi Capitals,"MA Chidambaram Stadium, Chepauk",Chennai Super Kings,bat,Delhi Capitals
336003,2008-05-03,2008,Punjab Kings,Kolkata Knight Riders,"Punjab Cricket Association Stadium, Mohali",Punjab Kings,bat,Punjab Kings
336034,2008-05-03,2008,Royal Challengers Bengaluru,Deccan Chargers,M Chinnaswamy Stadium,Deccan Chargers,field,Royal Challengers Bengaluru
336004,2008-05-04,2008,Mumbai Indians,Delhi Capitals,Dr DY Patil Sports Academy,Delhi Capitals,field,Mumbai Indians
336005,2008-05-04,2008,Rajasthan Royals,Chennai Super Kings,Sawai Mansingh Stadium,Chennai Super Kings,bat,Rajasthan Royals
336006,2008-05-05,2008,Royal Challengers Bengaluru,Punjab Kings,M Chinnaswamy Stadium,Punjab Kings,field,Punjab Kings
336007,2008-05-06,2008,Chennai Super Kings,Deccan Chargers,"MA Chidambaram Stadium, Chepauk",Deccan Chargers,field,Deccan Chargers
336008,2008-05-07,2008,Mumbai Indians,Rajasthan Royals,Dr DY Patil Sports Academy,Mumbai Indians,field,Mumbai Indians
336009,2008-05-08,2008,Delhi Capitals,Chennai Super Kings,Feroz Shah Kotla,Chennai Super Kings,field,Chennai Super Kings
336010,2008-05-08,2008,Kolkata Knight Riders,Royal Challengers Bengaluru,Eden Gardens,Kolkata Knight Riders,bat,Kolkata Knight Riders
336011,2008-05-09,2008,Rajasthan Royals,Deccan Chargers,Sawai Mansingh Stadium,Rajasthan Royals,field,Rajasthan Royals
336013,2008-05-10,2008,Chennai Super Kings,Punjab Kings,"MA Chidambaram Stadium, Chepauk",Punjab Kings,field,Chennai Super Kings
336014,2008-05-11,2008,Deccan Chargers,Kolkata Knight Riders,"Rajiv Gandhi International Stadium, Uppal",Kolkata Knight Riders,bat,Kolkata Knight Riders
336015,2008-05-11,2008,Rajasthan Royals,Delhi Capitals,Sawai Mansingh Stadium,Rajasthan Royals,field,Rajasthan Royals
